Year,MaxDaily_mm,DateOfMax
1941,64.30,1941-05-30
1942,76.20,1942-04-09
1943,65.00,1943-10-27
1944,66.00,1944-01-31
1945,72.20,1945-01-08
1946,65.40,1946-11-08
1947,73.50,1947-12-24
1948,73.40,1948-11-21
1949,78.00,1949-12-09
1950,90.00,1950-12-15
1951,89.40,1951-03-29
1952,80.00,1952-01-13
1953,71.80,1953-11-20
1954,82.20,1954-12-15
1955,88.20,1955-01-25
1956,72.40,1956-12-25
1957,116.20,1957-01-12
1958,71.80,1958-11-24
1959,64.20,1959-12-09
1960,76.00,1960-03-01
1961,109.00,1961-02-15
1962,133.00,1962-01-11
1963,52.00,1963-11-17
1964,108.40,1964-02-22
1965,80.00,1965-02-18
1966,87.50,1966-12-19
1967,63.40,1967-12-24
1968,67.40,1968-12-10
1969,105.80,1969-12-25
1970,67.40,1970-12-18
1971,63.00,1971-11-07
