,Year,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Latitude,Longitude,P (mm),P (mm),P (mm),P (mm),P (mm),P (mm),P (mm),P (mm),P (mm),P (mm),P (mm),P (mm),P (mm),P (mm),P (mm),P (mm),P (mm),P (mm),P (mm),P (mm),P (mm),P (mm),P (mm),P (mm),P (mm),P (mm)
-14.4311,-44.4817,70,83.2,61.5,59,94,85,57.7,63,48,88,134.5,,,,,,,,,,,,,,,
-14.2658,-44.1572,69.3,35.1,42.8,51.2,133.3,103,38.5,79.5,42.3,106.5,85.5,,,,,,,,,,,,,,,
-14.2806,-44.4094,92.1,68,47.9,60.4,65,125,103,109.3,40.6,131.9,98.7,,,,,,,,,,,,,,,
-14.2683,-44.5217,97.2,77,72.4,98.8,93.6,100.7,51.9,102.7,71.4,98.5,69.2,,,,,,,,,,,,,,,
-14.1347,-47.5117,,,,,,49.3,70,75,40.2,60.4,112,52,56.3,,,,76.3,67.3,,,,,,,,
-14.7072,-47.5236,,,,,,54.1,70.4,53.4,50,66.3,91.2,44.3,80.1,,,,130,122.2,,,,,,,,
-14.475,-48.4583,,,,,,57,70.3,54.4,86.9,64.8,64.8,100,95,,,,80.2,55,,,,,,,,
-14.7611,-49.5803,112,100.4,145,106.6,80.2,129.6,85,98,94.7,95,113.6,66,65.2,,,,113,92.4,,,,,,,,
-14.4336,-49.7167,102.3,84,168.4,108.5,74.6,136.8,114.9,143.2,62.5,101,81.1,117.5,,,,,,,,,,,,,,
-14.7414,-50.5772,102.4,83.4,84.8,67.6,87.6,57.2,104.4,90.2,102.6,109.8,103.6,86.8,,,,,,,,,,,,,,
-14.0972,-50.3328,112.4,112.2,85.5,52.9,75.7,46.8,82.6,67.6,66.7,138.6,108.9,82.5,,,,,,,,,,,,,,
-14.8439,-55.855,69.6,135.2,68,129.6,63.8,58.7,70.6,150.5,89.4,66.1,73.1,84.9,,,,,,,,,,,,,,
-14.4694,-56.85,81.6,67.4,165.3,92.7,67.5,53.6,86.1,104.3,132.1,89.6,95.4,126.9,,,,,,,,,,,,,,
-14.4511,-56.8142,96.1,91.3,76.5,74.5,100.3,79.4,63.5,123,102.7,71.3,160.3,138.9,,,,,,,,,,,,,,
-14.6525,-56.1239,105,143,78,63,101.3,107,79,104.7,99.9,125.2,74,63.8,61.9,,,,84.5,76,,,,,,,,
-15.9608,-39.5261,88,57,95.4,63.2,118.4,77.3,38.1,103.7,,89.1,94.8,,,,,,,,,,,,,,,
-15.5642,-39.3017,50.6,55.9,80.9,54.3,70.8,74.7,55.2,52.5,38.6,146.4,44.8,54.7,,,,,,,,,,,,,,
-15.5808,-41.4086,86,42.7,64.9,112.5,63.1,90.9,38,84.6,38.3,94,63.4,99.1,,,,,,,,,,,,,,
-15.3411,-43.6753,56.6,78.3,79.3,82.2,49.2,46.4,76.7,246,61.1,84.5,66.3,,,,,,,,,,,,,,,
-15.7756,-43.2797,149,154,38.8,65.2,61,72.2,83.4,89.5,43,54.9,47.8,,,,,,,,,,,,,,,
-15.9494,-44.8681,64,71.2,73.5,94,66,79.2,54,82,79.7,84.7,121,,,,,,,,,,,,,,,
-15.9303,-44.0042,60.2,51.2,70.2,94,81,81.2,65.3,47.7,64.5,62,59.5,,,,,,,,,,,,,,,
-15.9178,-46.1192,95.2,66.3,66.5,78.6,101,93.2,58.3,109.8,62.2,94.4,79,,,,,,,,,,,,,,,
