Date,Rain_mm_day
1995-01-01,2.80
1995-01-02,0.00
1995-01-03,6.20
1995-01-04,0.00
1995-01-05,5.40
1995-01-06,0.00
1995-01-07,92.80
1995-01-08,115.00
1995-01-09,5.00
1995-01-10,29.40
1995-01-11,67.60
1995-01-12,38.60
1995-01-13,54.00
1995-01-14,9.80
1995-01-15,2.40
1995-01-16,5.20
1995-01-17,0.00
1995-01-18,2.00
1995-01-19,38.00
1995-01-20,17.00
1995-01-21,0.00
1995-01-22,18.20
1995-01-23,1.60
1995-01-24,0.00
1995-01-25,0.00
1995-01-26,0.00
1995-01-27,14.20
1995-01-28,1.20
1995-01-29,1.60
1995-01-30,0.00
1995-01-31,0.00
1995-02-01,7.60
1995-02-02,9.80
1995-02-03,17.80
1995-02-04,0.60
1995-02-05,0.20
1995-02-06,36.80
1995-02-07,0.00
1995-02-08,0.00
1995-02-09,19.40
1995-02-10,7.20
1995-02-11,0.00
1995-02-12,12.00
1995-02-13,0.00
1995-02-14,8.20
1995-02-15,0.00
1995-02-16,0.00
1995-02-17,0.00
1995-02-18,0.00
1995-02-19,22.20
1995-02-20,0.00
1995-02-21,0.00
1995-02-22,0.00
1995-02-23,0.00
1995-02-24,2.60
1995-02-25,0.00
1995-02-26,0.00
1995-02-27,0.00
1995-02-28,4.40
1995-03-01,0.00
1995-03-02,0.00
1995-03-03,0.00
1995-03-04,15.40
1995-03-05,0.00
1995-03-06,5.20
1995-03-07,0.00
1995-03-08,0.00
1995-03-09,3.00
1995-03-10,4.80
1995-03-11,0.00
1995-03-12,0.00
1995-03-13,0.00
1995-03-14,24.20
1995-03-15,13.80
1995-03-16,0.00
1995-03-17,0.00
1995-03-18,0.00
1995-03-19,0.00
1995-03-20,0.00
1995-03-21,0.00
1995-03-22,0.00
1995-03-23,0.00
1995-03-24,4.80
1995-03-25,0.00
1995-03-26,0.00
1995-03-27,0.00
1995-03-28,0.00
1995-03-29,0.00
1995-03-30,5.80
1995-03-31,0.00
1995-04-01,0.00
1995-04-02,0.00
1995-04-03,0.00
1995-04-04,0.00
1995-04-05,0.00
1995-04-06,0.00
1995-04-07,0.00
1995-04-08,0.00
1995-04-09,0.00
1995-04-10,0.00
1995-04-11,0.00
1995-04-12,8.40
1995-04-13,0.00
1995-04-14,0.00
1995-04-15,0.00
1995-04-16,0.00
1995-04-17,0.00
1995-04-18,4.20
1995-04-19,0.00
1995-04-20,63.40
1995-04-21,3.80
1995-04-22,0.00
1995-04-23,0.00
1995-04-24,0.00
1995-04-25,0.00
1995-04-26,0.00
1995-04-27,0.00
1995-04-28,0.00
1995-04-29,0.00
1995-04-30,0.00
1995-05-01,0.00
1995-05-02,0.00
1995-05-03,0.00
1995-05-04,0.00
1995-05-05,0.00
1995-05-06,0.00
1995-05-07,19.80
1995-05-08,1.40
1995-05-09,0.00
1995-05-10,4.60
1995-05-11,0.00
1995-05-12,0.00
1995-05-13,0.00
1995-05-14,0.00
1995-05-15,0.00
1995-05-16,0.00
1995-05-17,16.80
1995-05-18,0.00
1995-05-19,0.00
1995-05-20,0.00
1995-05-21,0.00
1995-05-22,0.00
1995-05-23,0.00
1995-05-24,0.00
1995-05-25,0.00
1995-05-26,0.00
1995-05-27,0.00
1995-05-28,0.00
1995-05-29,0.00
1995-05-30,0.00
1995-05-31,0.00
1995-06-01,0.00
1995-06-02,0.00
1995-06-03,0.00
1995-06-04,0.00
1995-06-05,0.00
1995-06-06,0.00
1995-06-07,0.00
