Code,Name,SubBasin,City,State,Responsible,Latitude,Longitude,StartDate,EndDate,NYD,MD,N_YWOMD,YWMD
00047002,SALINÓPOLIS,32,SALINÓPOLIS,PARÁ,ANA,-0.6231,-47.3536,1977-12-09,2019-08-31,43,3.5,35,18.6
00047004,PRIMAVERA,32,PRIMAVERA,PARÁ,ANA,-0.9294,-47.0994,1982-02-18,2019-08-31,38,0.0,35,7.9
00047006,SÃO JOÃO DE PIRABAS,32,SÃO JOÃO DE PIRABAS,PARÁ,ANA,-0.7747,-47.1775,1989-08-30,2019-08-31,31,0.4,25,19.4
00047007,MAGALHÃES BARATA,31,MAGALHÃES BARATA,PARÁ,ANA,-0.7944,-47.5997,1995-11-17,2019-08-31,25,1.4,20,20.0
00048006,VIGIA,31,VIGIA,PARÁ,ANA,-0.8681,-48.1103,1982-02-11,2019-07-31,38,0.4,32,15.8
00049010,CHAVES,19,CHAVES,PARÁ,ANA,-0.1656,-49.9786,1999-09-02,2019-09-30,21,0.9,16,23.8
00051005,BOM JARDIM,19,GURUPÁ,PARÁ,ANA,-0.7947,-51.6239,1997-07-01,2019-09-30,23,0.0,21,8.7
00052003,SÃO PEDRO,19,MAZAGÃO,AMAPÁ,ANA,-0.4567,-52.0775,1997-05-20,2019-04-30,23,0.4,18,21.7
00061000,SANTA MARIA DO BOIAÇU,14,RORAINÓPOLIS,RORAIMA,ANA,-0.5067,-61.7858,1972-06-10,2019-08-31,48,0.9,42,12.5
00061001,TERRA PRETA,14,CARACARAÍ,RORAIMA,ANA,-0.8731,-61.9317,1989-04-25,2019-08-31,31,0.4,24,22.6
00063001,SAMAUMA,14,BARCELOS,AMAZONAS,ANA,-0.3672,-62.7753,1997-09-25,2016-04-30,20,0.9,16,20.0
00065001,TAPURUQUARA,14,SANTA IZABEL DO RIO,AMAZONAS,ANA,-0.4203,-65.0153,1982-08-05,2019-09-30,38,5.0,31,18.4
00067002,TUMBIRA,14,SÃO GABRIEL DA CACH,AMAZONAS,ANA,-0.3444,-67.5358,1999-12-26,2019-09-30,21,0.4,19,9.5
00145006,CÂNDIDO MENDES,32,CÂNDIDO MENDES,MARANHÃO,ANA,-1.4558,-45.7281,1986-06-17,2019-09-30,34,0.0,32,5.9
00146008,ALTO BONITO,32,VISEU,PARÁ,ANA,-1.8175,-46.3439,1976-01-23,2019-09-30,44,2.3,38,13.6
00146009,VISEU,32,VISEU,PARÁ,ANA,-1.2314,-46.1878,1980-08-29,2019-07-31,40,0.6,35,12.5
00147002,CAPANEMA,32,CAPANEMA,PARÁ,ANA,-1.2036,-47.1781,1966-03-18,2019-08-31,54,0.5,46,14.8
00147007,CASTANHAL,32,CASTANHAL,PARÁ,ANA,-1.2975,-47.9394,1972-07-01,2019-07-31,48,3.3,36,25.0
00147010,IGARAPÉ-AÇU,32,IGARAPÉ-AÇU,PARÁ,ANA,-1.1325,-47.6283,1980-08-31,2019-08-31,40,1.6,34,15.0
00147011,COLÔNIA SANTO ANTÔNIO,31,IRITUIA,PARÁ,ANA,-1.655,-47.4914,1982-06-11,2019-05-31,38,0.5,35,7.9
00147016,OUREM,31,OURÉM,PARÁ,ANA,-1.5517,-47.1172,1988-01-01,2019-08-31,32,2.7,26,18.8
00147017,TERRA ALTA,32,TERRA ALTA,PARÁ,ANA,-1.0386,-47.9133,1991-01-01,2019-07-31,29,0.7,27,6.9
00147019,NOVA TIMBOTEUA,32,NOVA TIMBOTEUA,PARÁ,ANA,-1.21111,-47.3864,1995-11-23,2019-08-31,25,0.5,22,12.0
00148002,BELÉM,31,BELÉM,PARÁ,INMET,-1.435,-48.4378,1949-04-01,2019-06-30,71,3.6,59,16.9
00148009,ACARÁ,31,ACARÁ,PARÁ,ANA,-1.9611,-48.2064,1980-08-17,2019-04-30,40,1.2,31,22.5
00148010,ABAETETUBA,31,ABAETETUBA,PARÁ,ANA,-1.7503,-48.8669,1980-10-18,2019-08-31,40,0.7,30,25.0
00148012,MOSQUEIRO,31,BELÉM,PARÁ,ANA,-1.0942,-48.3986,1982-04-23,2019-07-31,38,1.4,30,21.1
00148017,BUJARU,31,BUJARU,PARÁ,ANA,-1.5211,-48.0461,1994-11-25,2019-06-30,26,0.0,24,7.7
00151000,JARILÂNDIA,19,ALENQUER,PARÁ,ANA,-1.1233,-51.9964,1980-08-19,2019-09-30,40,0.7,31,22.5
00151001,ACAMPAMENTO IBDF,19,PORTEL,PARÁ,ANA,-1.7922,-51.4344,1980-06-20,2019-09-30,40,1.3,35,12.5
00153000,PRAINHA,18,PRAINHA,PARÁ,ANA,-1.8011,-53.48,1980-10-18,2019-04-30,40,0.8,33,17.5
