Code,Name,SubBasin,City,State,Responsible,Latitude,Longitude,StartDate,EndDate,NYD,MD,N_YWOMD,YWMD
00047002,SALINÓPOLIS,32,SALINÓPOLIS,PARÁ,ANA,-0.6231,-47.3536,1977-12-09,2019-08-31,43,3.5,35,18.6
00047003,CURUÇA,32,CURUÇA,PARÁ,ANA,-0.7375,-47.8536,1981-07-01,2019-07-31,39,2.4,29,25.6
00047004,PRIMAVERA,32,PRIMAVERA,PARÁ,ANA,-0.9294,-47.0994,1982-02-18,2019-08-31,38,0.0,35,7.9
00047005,MARUDA,32,MARAPANIM,PARÁ,ANA,-0.6336,-47.6583,1989-08-21,2019-07-31,31,5.0,20,35.5
00047006,SÃO JOÃO DE PIRABAS,32,SÃO JOÃO DE PIRABAS,PARÁ,ANA,-0.7747,-47.1775,1989-08-30,2019-08-31,31,0.4,25,19.4
00047007,MAGALHÃES BARATA,31,MAGALHÃES BARATA,PARÁ,ANA,-0.7944,-47.5997,1995-11-17,2019-08-31,25,1.4,20,20.0
00048006,VIGIA,31,VIGIA,PARÁ,ANA,-0.8681,-48.1103,1982-02-11,2019-07-31,38,0.4,32,15.8
00049009,ANAJÁS,19,ANAJÁS,PARÁ,ANA,-0.9853,-49.9394,1999-09-02,2019-09-30,21,2.1,15,28.6
00049010,CHAVES,19,CHAVES,PARÁ,ANA,-0.1656,-49.9786,1999-09-02,2019-09-30,21,0.9,16,23.8
00049011,SANTA CRUZ DO ARARI,19,SANTA CRUZ DO ARARI,PARÁ,ANA,-1.0158,-48.9597,1999-09-02,2019-09-30,21,0.7,15,28.6
00051002,NAVIO,19,MAZAGÃO,AMAPÁ,ANA,-0.3992,-51.4203,1980-08-27,2019-09-30,40,6.1,12,70.0
00051004,VILA DO MARACÁ,19,MAZAGÃO,AMAPÁ,ANA,-0.1806,-51.7358,1997-05-19,2019-04-30,23,4.6,12,47.8
00051005,BOM JARDIM,19,GURUPÁ,PARÁ,ANA,-0.7947,-51.6239,1997-07-01,2019-09-30,23,0.0,21,8.7
00052000,SÃO FRANCISCO,19,LARANJAL DO JARÍ,AMAPÁ,ANA,-0.5711,-52.575,1968-07-06,2016-02-29,49,4.4,31,36.7
00052003,SÃO PEDRO,19,MAZAGÃO,AMAPÁ,ANA,-0.4567,-52.0775,1997-05-20,2019-04-30,23,0.4,18,21.7
00060000,BASE ALALAÚ,14,RORAINÓPOLIS,RORAIMA,ANA,-0.8558,-60.5219,1977-05-31,2019-07-31,43,29.5,15,65.1
00060001,FAZENDA SÃO LUCAS,14,SÃO LUIZ,RORAIMA,ANA,-0.2275,-60.6908,1989-01-31,2019-04-30,31,4.8,20,35.5
00061000,SANTA MARIA DO BOIAÇU,14,RORAINÓPOLIS,RORAIMA,ANA,-0.5067,-61.7858,1972-06-10,2019-08-31,48,0.9,42,12.5
00061001,TERRA PRETA,14,CARACARAÍ,RORAIMA,ANA,-0.8731,-61.9317,1989-04-25,2019-08-31,31,0.4,24,22.6
00063000,CUMARU,14,BARCELOS,AMAZONAS,ANA,-0.5983,-63.3978,1977-12-21,2019-09-30,43,2.3,32,25.6
