classification,type,size_mb,path
ARCHIVE_OR_DELETE_BACKUP,file,0.006,.DS_Store
REVIEW_OTHER,file,0.0,.gitignore
REVIEW_OTHER,file,0.01,01_core_config_runner.zip
REVIEW_OTHER,file,0.014,02_gauge_event_selection.zip
REVIEW_OTHER,file,0.011,03_gee_product_inspection.zip
REVIEW_OTHER,file,0.011,04_gee_pair_exports.zip
REVIEW_OTHER,file,0.011,05_zeta_station.zip
REVIEW_OTHER,file,0.013,06_idw_interpolation.zip
REVIEW_OTHER,file,0.013,07_apply_bias_rasters.zip
REVIEW_OTHER,file,0.014,08_diagnostics_sensitivity.zip
REVIEW_OTHER,file,0.008,09_interactive_runner_bugfix.zip
REVIEW_OTHER,file,0.001,README.md
REVIEW_OTHER,file,0.001,README_INTERACTIVE_RUNNER.md
REVIEW_OTHER,file,0.001,README_PART01.md
REVIEW_OTHER,file,0.002,README_PART02.md
REVIEW_OTHER,file,0.003,README_PART03.md
REVIEW_OTHER,file,0.003,README_PART04.md
REVIEW_OTHER,file,0.003,README_PART05.md
REVIEW_OTHER,file,0.003,README_PART06.md
REVIEW_OTHER,file,0.003,README_PART07.md
REVIEW_OTHER,file,0.002,README_PART08.md
ARCHIVE_OR_DELETE_BACKUP,file,0.006,ana_rainfall_1995_2025/.DS_Store
REVIEW_SCRIPT,file,0.004,ana_rainfall_1995_2025/inspect_ana_download.py
REVIEW_OTHER,file,0.0,ana_rainfall_1995_2025/station_cache/1036005.csv
REVIEW_OTHER,file,0.0,ana_rainfall_1995_2025/station_cache/1036007.csv
REVIEW_OTHER,file,0.0,ana_rainfall_1995_2025/station_cache/1036048.csv
REVIEW_OTHER,file,0.0,ana_rainfall_1995_2025/station_cache/1036062.csv
REVIEW_OTHER,file,0.0,ana_rainfall_1995_2025/station_cache/1036063.csv
REVIEW_OTHER,file,0.0,ana_rainfall_1995_2025/station_cache/1037007.csv
REVIEW_OTHER,file,0.0,ana_rainfall_1995_2025/station_cache/1037049.csv
REVIEW_OTHER,file,0.0,ana_rainfall_1995_2025/station_cache/1037078.csv
REVIEW_OTHER,file,0.0,ana_rainfall_1995_2025/station_cache/1039019.csv
REVIEW_OTHER,file,0.0,ana_rainfall_1995_2025/station_cache/1039025.csv
REVIEW_OTHER,file,0.0,ana_rainfall_1995_2025/station_cache/1040025.csv
REVIEW_OTHER,file,0.0,ana_rainfall_1995_2025/station_cache/1040026.csv
REVIEW_OTHER,file,0.0,ana_rainfall_1995_2025/station_cache/1040027.csv
REVIEW_OTHER,file,0.0,ana_rainfall_1995_2025/station_cache/1042012.csv
REVIEW_OTHER,file,0.0,ana_rainfall_1995_2025/station_cache/1046001.csv
REVIEW_OTHER,file,0.0,ana_rainfall_1995_2025/station_cache/1047000.csv
REVIEW_OTHER,file,0.0,ana_rainfall_1995_2025/station_cache/1047001.csv
REVIEW_OTHER,file,0.0,ana_rainfall_1995_2025/station_cache/1047002.csv
REVIEW_OTHER,file,0.0,ana_rainfall_1995_2025/station_cache/1047004.csv
REVIEW_OTHER,file,0.0,ana_rainfall_1995_2025/station_cache/1048000.csv
REVIEW_OTHER,file,0.0,ana_rainfall_1995_2025/station_cache/1048001.csv
REVIEW_OTHER,file,0.0,ana_rainfall_1995_2025/station_cache/1048005.csv
REVIEW_OTHER,file,0.0,ana_rainfall_1995_2025/station_cache/1049001.csv
REVIEW_OTHER,file,0.0,ana_rainfall_1995_2025/station_cache/1049002.csv
REVIEW_OTHER,file,0.0,ana_rainfall_1995_2025/station_cache/1050000.csv
REVIEW_OTHER,file,0.0,ana_rainfall_1995_2025/station_cache/1050002.csv
REVIEW_OTHER,file,0.0,ana_rainfall_1995_2025/station_cache/1051001.csv
REVIEW_OTHER,file,0.0,ana_rainfall_1995_2025/station_cache/1052000.csv
REVIEW_OTHER,file,0.0,ana_rainfall_1995_2025/station_cache/1052001.csv
REVIEW_OTHER,file,0.0,ana_rainfall_1995_2025/station_cache/1053001.csv
REVIEW_OTHER,file,0.0,ana_rainfall_1995_2025/station_cache/1054000.csv
REVIEW_OTHER,file,0.0,ana_rainfall_1995_2025/station_cache/1055000.csv
REVIEW_OTHER,file,0.0,ana_rainfall_1995_2025/station_cache/1055001.csv
REVIEW_OTHER,file,0.0,ana_rainfall_1995_2025/station_cache/1055002.csv
REVIEW_OTHER,file,0.0,ana_rainfall_1995_2025/station_cache/1055003.csv
REVIEW_OTHER,file,0.0,ana_rainfall_1995_2025/station_cache/1057001.csv
REVIEW_OTHER,file,0.0,ana_rainfall_1995_2025/station_cache/1058002.csv
REVIEW_OTHER,file,0.0,ana_rainfall_1995_2025/station_cache/1058003.csv
REVIEW_OTHER,file,0.0,ana_rainfall_1995_2025/station_cache/1058004.csv
REVIEW_OTHER,file,0.0,ana_rainfall_1995_2025/station_cache/1058005.csv
REVIEW_OTHER,file,0.0,ana_rainfall_1995_2025/station_cache/1059000.csv
REVIEW_OTHER,file,0.0,ana_rainfall_1995_2025/station_cache/1060001.csv
REVIEW_OTHER,file,0.0,ana_rainfall_1995_2025/station_cache/1061002.csv
REVIEW_OTHER,file,0.0,ana_rainfall_1995_2025/station_cache/1061003.csv
REVIEW_OTHER,file,0.0,ana_rainfall_1995_2025/station_cache/1062001.csv
REVIEW_OTHER,file,0.0,ana_rainfall_1995_2025/station_cache/1062002.csv
REVIEW_OTHER,file,0.0,ana_rainfall_1995_2025/station_cache/1062003.csv
REVIEW_OTHER,file,0.0,ana_rainfall_1995_2025/station_cache/1062004.csv
REVIEW_OTHER,file,0.0,ana_rainfall_1995_2025/station_cache/1063000.csv
REVIEW_OTHER,file,0.0,ana_rainfall_1995_2025/station_cache/1063001.csv
REVIEW_OTHER,file,0.0,ana_rainfall_1995_2025/station_cache/1065002.csv
REVIEW_OTHER,file,0.0,ana_rainfall_1995_2025/station_cache/1067002.csv
REVIEW_OTHER,file,0.0,ana_rainfall_1995_2025/station_cache/1067003.csv
REVIEW_OTHER,file,0.0,ana_rainfall_1995_2025/station_cache/1068000.csv
REVIEW_OTHER,file,0.0,ana_rainfall_1995_2025/station_cache/1069000.csv
REVIEW_OTHER,file,0.0,ana_rainfall_1995_2025/station_cache/1137001.csv
