city_label,integrated_absolute_bias
Niteroi (Rio de Janeiro),942.0
Sao Goncalo (Rio de Janeiro),824.25
Itaipulandia (Parana),787.3333333333334
Linha Nova (Rio Grande do Sul),778.375
Feliz (Rio Grande do Sul),778.375
Marica (Rio de Janeiro),764.7916666666666
Picada Cafe (Rio Grande do Sul),763.1666666666666
Missal (Parana),751.125
Alcobaca (Bahia),746.0
Teixeira de Freitas (Bahia),724.0
Presidente Lucena (Rio Grande do Sul),722.75
Ivoti (Rio Grande do Sul),722.75
Santa Helena (Parana),720.75
Sao Jose do Hortencio (Rio Grande do Sul),707.7916666666667
Lindolfo Collor (Rio Grande do Sul),707.7916666666667
Sao Miguel do Iguacu (Parana),707.5416666666666
Vale Real (Rio Grande do Sul),703.2916666666666
Santa Terezinha de Itaipu (Parana),696.5
Diamante DOeste (Parana),696.3333333333333
Medianeira (Parana),692.6666666666667
Ramilandia (Parana),692.5833333333334
Sao Jose das Palmeiras (Parana),690.7916666666667
Foz do Iguacu (Parana),688.25
Nova Petropolis (Rio Grande do Sul),676.6666666666666
Contendas do Sincora (Bahia),675.875
Serranopolis do Iguacu (Parana),663.3333333333333
Carbonita (Minas Gerais),662.5416666666667
Caravelas (Bahia),660.6666666666667
Entre Rios do Oeste (Parana),659.2916666666667
Dois Irmaos (Rio Grande do Sul),653.0416666666667
Morro Reuter (Rio Grande do Sul),653.0416666666667
Vera Cruz do Oeste (Parana),648.875
Pato Bragado (Parana),648.125
Alto Feliz (Rio Grande do Sul),645.4166666666666
Matelandia (Parana),643.25
Sao Pedro do Iguacu (Parana),642.25
Bom Principio (Rio Grande do Sul),626.6666666666666
Ouro Verde do Oeste (Parana),622.7916666666667
Ceu Azul (Parana),616.1666666666667
Tanhacu (Bahia),608.875
Marechal Candido Rondon (Parana),607.7083333333333
Estancia Velha (Rio Grande do Sul),606.2916666666667
Angico (Tocantins),597.4166666666666
Capanema (Parana),595.7083333333334
Campo Bom (Rio Grande do Sul),586.75
Palmelo (Goias),584.0416666666667
Toledo (Parana),583.1666666666667
Lindoeste (Parana),581.0833333333333
Vicentinopolis (Goias),580.25
Santa Maria do Herval (Rio Grande do Sul),576.9166666666667
Capitao Leonidas Marques (Parana),575.875
Santa Tereza do Oeste (Parana),575.5
Sao Vendelino (Rio Grande do Sul),574.3333333333333
Perola dOeste (Parana),573.8333333333334
Santa Lucia (Parana),573.5833333333334
Planalto (Parana),573.375
Sao Sebastiao do Cai (Rio Grande do Sul),573.2083333333333
Manduri (Sao Paulo),571.5
Nova Hartz (Rio Grande do Sul),571.125
Quatro Pontes (Parana),569.3333333333333
Mercedes (Parana),569.3333333333333
Nazare (Tocantins),562.5
Xaxim (Santa Catarina),562.25
Rio Grande (Rio Grande do Sul),562.2083333333333
Caputira (Minas Gerais),557.2083333333334
Realeza (Parana),554.4166666666667
Bela Vista da Caroba (Parana),553.5
Itaborai (Rio de Janeiro),552.7083333333334
Joviania (Goias),552.25
Arvoredo (Santa Catarina),551.8333333333333
Cerqueira Cesar (Sao Paulo),551.375
Cascavel (Parana),551.0416666666667
Itamarandiba (Minas Gerais),550.4166666666667
Boa Vista da Aparecida (Parana),549.625
Tupassi (Parana),547.8333333333333
Vermelho Novo (Minas Gerais),547.2083333333333
Aguas de Santa Barbara (Sao Paulo),545.5416666666666
Manhuacu (Minas Gerais),545.2083333333333
Portao (Rio Grande do Sul),543.125
Veredinha (Minas Gerais),541.4166666666667
Maripa (Parana),541.0833333333333
Cafelandia (Parana),539.4166666666666
Nova Vicosa (Bahia),539.2916666666667
Oleo (Sao Paulo),539.2916666666667
Corumbaiba (Goias),538.7916666666666
Ararica (Rio Grande do Sul),537.2083333333333
Sapiranga (Rio Grande do Sul),537.2083333333333
Nova Santa Rosa (Parana),536.9583333333333
Nova Prata do Iguacu (Parana),534.75
Santa Izabel do Oeste (Parana),534.5416666666666
Pranchita (Parana),533.6666666666667
Pires do Rio (Goias),531.625
Turmalina (Minas Gerais),530.875
Colonia do Gurgueia (Piaui),530.7083333333334
Iaras (Sao Paulo),529.7916666666666
Piraju (Sao Paulo),529.3333333333334
Sete Quedas (Mato Grosso do Sul),528.9583333333333
Matipo (Minas Gerais),523.5416666666667
Santa Barbara do Leste (Minas Gerais),523.3333333333333
Assis Chateaubriand (Parana),521.3333333333333
Corbelia (Parana),520.5416666666666
Matutina (Minas Gerais),520.375
Aricanduva (Minas Gerais),519.5833333333334
Tres Barras do Parana (Parana),517.625
Ampere (Parana),517.0416666666667
Jesuitas (Parana),516.9583333333333
Santa Margarida (Minas Gerais),516.625
Iracema do Oeste (Parana),516.4583333333333
Raul Soares (Minas Gerais),516.3333333333333
Simonesia (Minas Gerais),516.3333333333333
Nova Aurora (Parana),516.0416666666666
Orizona (Goias),514.9166666666667
Sao Joao do Manhuacu (Minas Gerais),514.625
Bernardino de Campos (Sao Paulo),514.5
Japora (Mato Grosso do Sul),513.7083333333334
Senador Modestino Goncalves (Minas Gerais),513.7083333333333
Urucuia (Minas Gerais),513.6666666666667
Paranhos (Mato Grosso do Sul),513.375
Anahy (Parana),512.4166666666666
Catanduvas (Parana),511.5
Tacuru (Mato Grosso do Sul),510.4166666666667
Abreulandia (Tocantins),508.75
Braganey (Parana),508.5416666666667
Gramado (Rio Grande do Sul),508.0416666666667
Santa Rita de Minas (Minas Gerais),507.875
Cordilheira Alta (Santa Catarina),507.8333333333333
Guaira (Parana),507.2916666666667
Santo Antonio do Sudoeste (Parana),506.8333333333333
Salto do Lontra (Parana),506.25
Reduto (Minas Gerais),505.625
Sao Leopoldo (Rio Grande do Sul),505.58333333333337
Iguatu (Parana),503.29166666666663
Sarutaia (Sao Paulo),503.1666666666667
Edeia (Goias),502.4583333333333
Indiara (Goias),502.4166666666667
Boa Esperanca do Iguacu (Parana),502.2083333333333
Pedro Leopoldo (Minas Gerais),501.79166666666663
Formosa do Oeste (Parana),501.7083333333333
Jordania (Minas Gerais),501.16666666666663
Coronel Sapucaia (Mato Grosso do Sul),501.0416666666667
Cedro do Abaete (Minas Gerais),500.08333333333337
Ribeirao das Neves (Minas Gerais),499.16666666666663
Santa Cruz de Goias (Goias),498.8333333333333
Luzinopolis (Tocantins),498.75
Prado (Bahia),498.16666666666663
Brasilandia do Sul (Parana),497.20833333333337
Quarto Centenario (Parana),497.04166666666663
Iguai (Bahia),496.875
Serra da Saudade (Minas Gerais),496.5
Pocoes (Bahia),496.16666666666663
Timburi (Sao Paulo),496.0416666666667
Corrego Novo (Minas Gerais),495.95833333333337
Frei Lagonegro (Minas Gerais),495.875
Moreira Sales (Parana),494.75
Icaraima (Parana),494.0
Alto Piquiri (Parana),493.1666666666667
Lupercio (Sao Paulo),493.0416666666667
Cafezal do Sul (Parana),491.70833333333337
Bom Jesus do Sul (Parana),490.83333333333337
Maiquinique (Bahia),490.66666666666663
Santa Cruz do Rio Pardo (Sao Paulo),490.3333333333333
Terra Roxa (Parana),490.29166666666663
Palotina (Parana),490.29166666666663
Abre Campo (Minas Gerais),490.25
Janiopolis (Parana),490.25
Mundo Novo (Mato Grosso do Sul),490.20833333333337
Sao Gotardo (Minas Gerais),490.04166666666663
Novo Hamburgo (Rio Grande do Sul),489.5416666666667
Acreuna (Goias),489.1666666666667
Alto Paraiso (Parana),489.16666666666663
Chapada Gaucha (Minas Gerais),488.7916666666667
Cruzeiro do Iguacu (Parana),488.5833333333333
Eldorado (Mato Grosso do Sul),488.375
Santa Barbara dOeste (Sao Paulo),488.375
Ipaussu (Sao Paulo),487.25
Cruzeiro do Oeste (Parana),486.9166666666667
Bom Jesus do Galho (Minas Gerais),486.83333333333337
Umuarama (Parana),486.66666666666663
Coluna (Minas Gerais),486.5
Xambre (Parana),486.375
Nova Esperanca do Sudoeste (Parana),486.0
Sao Jose do Jacuri (Minas Gerais),485.91666666666663
Manhumirim (Minas Gerais),485.7916666666667
Perobal (Parana),485.75
Mariluz (Parana),485.7083333333333
Campo Bonito (Parana),485.5
Ivate (Parana),485.04166666666663
Turvelandia (Goias),483.9583333333333
Maria Helena (Parana),483.5
Espirito Santo do Turvo (Sao Paulo),483.16666666666663
Iguaba Grande (Rio de Janeiro),483.125
Sao Pedro da Aldeia (Rio de Janeiro),482.9583333333333
Sao Sebastiao do Maranhao (Minas Gerais),482.45833333333337
Flores de Goias (Goias),482.4166666666667
Tejupa (Sao Paulo),481.58333333333337
Americana (Sao Paulo),481.58333333333337
