Duration_min,ReturnPeriod_yr,Case,MedianBias_pct
15.0,10.0,Standard,59.87791402785652
15.0,10.0,Disaggregation,50.723009143375826
15.0,25.0,Standard,60.23988241333459
15.0,25.0,Disaggregation,49.99475631328227
60.0,10.0,Standard,56.636052577595535
60.0,10.0,Disaggregation,43.957471771836154
60.0,25.0,Standard,56.82672338309507
60.0,25.0,Disaggregation,45.25108972979821
1440.0,10.0,Standard,34.011573721292166
1440.0,10.0,Disaggregation,25.935327612214206
1440.0,25.0,Standard,33.00870694424387
1440.0,25.0,Disaggregation,23.938453670452997
7200.0,10.0,Standard,14.212179495412787
7200.0,10.0,Disaggregation,6.759867140308696
7200.0,25.0,Standard,14.151677783488653
7200.0,25.0,Disaggregation,6.675651808398615
