reference_key,coefficient,n,min,p01,p05,median,p95,p99,max
disaggregation,K,414,304.281,408.68420000000003,498.9648,1014.35,6548.599999999999,7722.857000000002,12470.27
disaggregation,a,414,0.0699,0.072908,0.128895,0.183,0.243035,0.2846580000000001,0.71
disaggregation,b,414,0.0,0.0,9.19,13.4617,34.735,51.23410000000003,80.9
disaggregation,c,414,0.1683,0.6203649999999999,0.706,0.756,1.06,1.06,1.128
disaggregation,K_r,396,550.1107788085938,769.3059478759766,1156.6643371582031,1610.5243530273438,13448.34521484375,26093.38671875001,42737.30859375
disaggregation,a_r,396,0.11837660521268845,0.12785445265471934,0.14252427965402603,0.18513967096805573,0.27311673760414124,0.2849035158753395,0.2897605299949646
disaggregation,b_r,396,0.3006170094013214,2.3621358156204226,5.000549793243408,14.500917434692383,91.93054008483887,138.13556137084964,154.77291870117188
disaggregation,c_r,396,0.6988836526870728,0.7533067733049392,0.8014754056930542,0.8608518242835999,1.1354089677333832,1.2418066084384918,1.3063418865203857
standard,K,551,274.09,437.674,584.3705,1888.0,6774.210499999999,10235.494999999999,14615.726
standard,a,551,0.086,0.0995,0.119,0.178,0.2369,0.28,0.76
standard,b,551,0.0,1.17,5.002,21.0,48.328,61.31,93.244
standard,c,551,0.525,0.58,0.64,0.856,1.0925,1.176,1.351
standard,K_r,512,469.126220703125,968.4569012451171,1154.372900390625,3172.724609375,15931.835937499998,51801.06871093748,114506.875
standard,a_r,512,0.11138355731964111,0.12338675737380982,0.13362422585487366,0.17492636293172836,0.228566575050354,0.28485482931137085,0.30241501331329346
standard,b_r,512,1.0759778022766113,2.268585205078125,4.922799015045166,28.76882839202881,94.97482986450196,151.73073928832994,187.3885498046875
standard,c_r,512,0.6715766191482544,0.780393660068512,0.809735506772995,0.9455284178256989,1.1717366755008696,1.3070055639743803,1.4083281755447388
