reference_key,source_sheet,source_row,station_code,station_name,latitude_xlsx,longitude_xlsx,lat_key,lon_key,K_r_sampled,a_r_sampled,b_r_sampled,c_r_sampled,latitude_metric,longitude_metric,K,a,b,c,K_r_metric,a_r_metric,b_r_metric,c_r_metric,K_r_abs_diff_sampled_minus_metric,K_r_rel_diff_pct_sampled_minus_metric,a_r_abs_diff_sampled_minus_metric,a_r_rel_diff_pct_sampled_minus_metric,b_r_abs_diff_sampled_minus_metric,b_r_rel_diff_pct_sampled_minus_metric,c_r_abs_diff_sampled_minus_metric,c_r_rel_diff_pct_sampled_minus_metric,max_abs_rel_diff_pct_sampled_vs_metric
standard,Standard,279,836004,Belo Jardim,-8.33333,-36.45,-8.33333,-36.45,1328.4400634765625,0.28485482931137085,14.501096725463867,0.8608534336090088,-8.33333,-36.45,2178.87,0.123,22.834,0.875,471.30078,0.22592442,1.8278829e-13,0.7945198,857.1392834765625,181.86672287632592,0.05893040931137086,26.084125528073002,14.501096725463684,7933274459465476.0,0.06633363360900879,8.34889622750859,7933274459465476.0
standard,Standard,277,835007,Bezerros,-8.2333,-35.75,-8.2333,-35.75,1367.4803466796875,0.28716838359832764,14.500842094421387,0.8608511686325073,-8.2333,-35.75,768.7,0.24,9.0,0.824,482.4767,0.25528216,2.1853432e-13,0.7890319,885.0036466796876,183.42930273724878,0.031886223598327657,12.490580461371708,14.500842094421168,6635498760295942.0,0.07181926863250732,9.102200891054888,6635498760295942.0
standard,Standard,26,1541001,Cândido Sales,-15.505,-41.2292,-15.505,-41.2292,5492.10595703125,0.16462136805057526,94.01820373535156,1.0318903923034668,-15.505,-41.2292,2828.391,0.204,34.463,0.956,268.39413,0.15259802,3.2164679e-12,0.641475,5223.71182703125,1946.2839321527822,0.012023348050575255,7.879098333369762,94.01820373534835,2923026333803870.5,0.3904153923034668,60.86213684141499,2923026333803870.5
standard,Standard,33,639034,Várzea Alegre,-6.8,-39.3,-6.8,-39.3,1642.6619873046875,0.168391615152359,15.016633987426758,0.8714619874954224,-6.8,-39.3,2977.1,0.1711,36.0,0.9059,605.84656,0.20284997,5.106993e-12,0.7441101,1036.8154273046875,171.1349862751862,-0.03445835484764098,-16.98711360304415,15.01663398742165,294040622092523.94,0.12735188749542237,17.114656486375118,294040622092523.94
standard,Standard,271,82899,Aeroporto de Recife,-8.11333,-35.01528,-8.11333,-35.01528,1218.466552734375,0.25577104091644287,14.502005577087402,0.8608615398406982,-8.11333,-35.01528,1423.97,0.1124,21.0,0.7721,822.6625,0.19995299,5.507732e-12,0.7685833,395.804052734375,48.11256775826964,0.055818050916442874,27.915587016949775,14.502005577081894,263302672989206.7,0.09227823984069827,12.006276982689876,263302672989206.7
standard,Standard,7,940024,Juazeiro,-9.4053,-40.5036,-9.4053,-40.5036,2174.059326171875,0.27414238452911377,21.71158790588379,0.9391328692436218,-9.4053,-40.5036,1519.0,0.188,9.3,0.8795,1013.8819,0.21168493,9.870191e-12,0.879096,1160.1774261718751,114.42924724979065,0.062457454529113776,29.504913046532774,21.71158790587392,219971304566182.38,0.06003686924362184,6.8293871481182755,219971304566182.38
standard,Standard,8,940024,Juazeiro,-9.4053,-40.5036,-9.4053,-40.5036,2174.059326171875,0.27414238452911377,21.71158790588379,0.9391328692436218,-9.4053,-40.5036,1519.0,0.188,9.3,0.8795,1013.8819,0.21168493,9.870191e-12,0.879096,1160.1774261718751,114.42924724979065,0.062457454529113776,29.504913046532774,21.71158790587392,219971304566182.38,0.06003686924362184,6.8293871481182755,219971304566182.38
standard,Standard,281,837011,Custódia,-8.1,-37.65,-8.1,-37.65,1329.3912353515625,0.22459863126277924,13.360357284545898,0.8555938005447388,-8.1,-37.65,3112.238,0.122,26.796,0.935,491.1319,0.16473724,1.9293053e-11,0.80306053,838.2593353515625,170.6790651048247,0.05986139126277923,36.337497983321335,13.360357284526605,69249575401708.61,0.052533270544738775,6.541632739033853,69249575401708.61
standard,Standard,270,-,São Gonçalo,-6.76666667,-38.23333333,-6.76667,-38.23333,1386.638427734375,0.2015373408794403,13.38701343536377,0.861144483089447,-6.76666667,-38.23333333,3077.38,0.14,30.0,0.93,604.1867,0.16773574,2.2244248e-11,0.74783224,782.451727734375,129.50495728131304,0.03380160087944031,20.151698665675134,13.387013435341526,60181910556569.62,0.11331224308944698,15.152093882639639,60181910556569.62
standard,Standard,414,-,Passo Fundo,-28.26666667,-52.41666667,-28.26667,-52.41667,1610.8018798828125,0.17339688539505005,5.258862495422363,0.7957806587219238,-28.26666667,-52.41666667,670.74,0.21,7.9,0.74,1143.9353,0.16823173,9.844828e-12,0.82287276,466.8665798828124,40.81232390352954,0.005165155395050053,3.0702623072651356,5.258862495412519,53417515221317.414,-0.027092101278076153,-3.2923803770191826,53417515221317.414
standard,Standard,68,1543002,Colônia do Jaíba,-15.3411,-43.6753,-15.3411,-43.6753,1000.1412963867188,0.2003398984670639,2.9934303760528564,0.8188679218292236,-15.3411,-43.6753,6527.477,0.226,32.114,1.141,622.4194,0.21216212,6.808448e-12,0.7975381,377.72189638671875,60.68607379312385,-0.011822221532936106,-5.572258390393207,2.993430376046048,43966413139177.21,0.021329821829223605,2.674458038960597,43966413139177.21
standard,Standard,285,-,Nazaré,-7.73333333,-35.25,-7.73333,-35.25,1328.4400634765625,0.28485482931137085,14.501096725463867,0.8608534336090088,-7.73333333,-35.25,421.19,0.23,4.0,0.68,655.02905,0.21248762,5.885981e-11,0.7833111,673.4110134765625,102.80628217581534,0.07236720931137086,34.05714145199182,14.501096725405008,24636669274679.97,0.07754233360900875,9.899302283474439,24636669274679.97
standard,Standard,272,735086,Vertentes,-7.9167,-35.9833,-7.9167,-35.9833,1277.3292236328125,0.30241501331329346,14.50129508972168,0.860855221748352,-7.9167,-35.9833,2282.3,0.17,17.913,0.909,485.19516,0.19251274,1.1310713e-10,0.7876377,792.1340636328125,163.2609162121099,0.10990227331329347,57.088311824606244,14.501295089608572,12820849657849.662,0.07321752174835205,9.295837635546402,12820849657849.662
