Latitude (º),Longitude (º),Altitude (m),Start year,End year,Years,K,a,b,c,K_r,a_r,b_r,c_r,NSE_all,R2_all,RMSE_all
-7.6111,-72.6811,170.0,1928.0,2015.0,88.0,1019.1,0.1471,12.4,0.7615,2742.4023,0.15979974,18.801283,0.9235802,0.6474672973436137,0.6474672973436137,36.38878823267059
-8.93527778,-72.785,,1981.0,2018.0,32.0,668.49,0.2501,9.19,0.7062,2522.0269,0.1373618,12.931603,0.8979944,0.7823765961789689,0.7823765961789689,37.94309966207666
-9.9758,-67.8,160.0,1970.0,2016.0,45.0,883.77,0.1037,9.19,0.706,3234.553,0.16462642,25.379631,0.9336849,0.7156042010003658,0.7156042010003658,32.528528223645395
-10.64972222,-68.50666667,,1978.0,2013.0,33.0,909.46,0.1106,9.19,0.7061,2978.9683,0.16776127,21.604445,0.9214637,0.676939511192435,0.676939511192435,36.54318853281926
-0.3992,-51.4203,,1981.0,2018.0,38.0,759.9,0.235,9.19,0.706,826.1878,0.13541257,26.39871,0.78833795,-0.14938586798513365,-0.14938586798513365,93.14646492075902
-0.5711,-52.575,,1970.0,2013.0,44.0,706.0,0.178,9.19,0.706,1608.0264,0.124791816,33.973553,0.8608697,0.4775144908983663,0.4775144908983663,46.3931782598975
0.50805556,-50.74833333,,1985.0,2018.0,34.0,658.9,0.25,9.19,0.706,740.4055,0.116474405,4.928174,0.7536494,0.774891246075009,0.774891246075009,38.04028300506498
0.045,-51.11,14.0,1968.0,2016.0,49.0,918.8,0.171,9.19,0.706,586.66815,0.12076389,15.744882,0.7451034,-0.16193009917868717,-0.16193009917868717,87.62087473964124
0.3031,-51.1267,,1984.0,2021.0,38.0,849.0,0.2192,12.6,0.7688,404.8273,0.13883275,6.8263707,0.7000352,0.4183662301639435,0.4183662301639435,50.238261941152274
0.8803,-52.0094,189.0,1972.0,2020.0,59.0,878.3,0.1732,12.4,0.7703,2959.5872,0.13950787,99.25526,0.9757645,-0.3010924508078492,-0.3010924508078492,64.98994272099037
1.22611111,-50.89722222,,1975.0,2018.0,44.0,786.5,0.157,9.19,0.706,2213.4966,0.11150084,28.248604,0.8884861,0.804672056711947,0.804672056711947,29.14450271645014
1.58027778,-50.90277778,,1985.0,2017.0,33.0,998.1,0.164,9.19,0.706,2938.774,0.1269593,17.645685,0.8991414,0.9834315920953757,0.9834315920953757,11.063629083128303
2.4956,-50.9508,,1976.0,2018.0,43.0,1158.5,0.244,9.19,0.706,3016.122,0.16403879,21.4958,0.8944924,0.7598976683867398,0.7598976683867398,67.36975554192578
2.0547,-50.7881,,1978.0,2018.0,41.0,1337.0,0.157,9.19,0.706,3241.224,0.15245226,22.766344,0.89820284,0.9001219970445186,0.9001219970445186,35.42762722069149
2.6983,-51.3614,,1985.0,2018.0,34.0,853.6,0.157,9.19,0.706,2295.4998,0.15782718,24.241838,0.88072985,0.9785575966841576,0.9785575966841576,10.480134844613511
-13.3672,-39.0772,59.0,1972.0,2021.0,49.0,1172.9,0.1826,32.7,0.7706,5256.237,0.20681062,56.765503,0.9874864,0.38535713919651804,0.38535713919651804,34.511769414094346
-3.9,-38.6667,67.0,1974.0,2021.0,48.0,3000.3,0.137,26.1,0.9097,2463.5752,0.17006154,11.439377,0.85683435,-0.8934424249291057,-0.8934424249291057,93.95031220681828
-4.15,-38.83333333,,1979.0,2021.0,42.0,2552.6,0.1704,26.3,0.9097,2202.7498,0.16385032,11.501701,0.857133,-0.23898084576199685,-0.23898084576199685,73.13234073820252
-5.9,-38.6167,120.0,1974.0,2016.0,43.0,450.37,0.0745,0.0,0.6616,1995.8408,0.18103397,13.247115,0.86017597,-0.3741981828093748,-0.3741981828093748,75.90728903458375
-5.7,-39.0167,170.0,1974.0,2016.0,43.0,449.96,0.0699,0.0,0.6575,2066.7566,0.1918476,13.2471,0.86017585,-0.9257343453439422,-0.9257343453439422,88.96981887988183
-6.25,-38.9167,188.0,1974.0,2016.0,43.0,413.33,0.0762,0.0,0.6567,1959.8773,0.19679524,14.051033,0.8682159,-0.7289147126407098,-0.7289147126407098,79.08010950185582
-6.4,-38.85,160.0,1974.0,2016.0,43.0,438.86,0.0743,0.0,0.6567,2105.6147,0.18114944,14.394381,0.8691751,-0.39084687291772124,-0.39084687291772124,74.85668263141748
-6.1167,-39.45,250.0,1974.0,2016.0,43.0,407.99,0.0765,0.0,0.6567,2038.4113,0.15283355,14.394396,0.8691752,-0.03990218169338888,-0.03990218169338888,60.59594889718759
-6.6,-39.06666667,246.0,1974.0,2016.0,43.0,498.58,0.0705,0.0,0.6566,2703.0364,0.18355982,14.393982,0.86917144,-1.4633967813721895,-1.4633967813721895,111.84445107331933
-6.5333,-39.5,230.0,1974.0,2016.0,43.0,464.89,0.0727,0.0,0.6567,2434.8406,0.22383296,14.942926,0.8705684,-2.2869026562214105,-2.2869026562214105,121.28588965481941
-6.3667,-39.3,213.0,1974.0,2016.0,43.0,490.95,0.071,0.0,0.6567,2808.2527,0.15261105,14.393913,0.86917084,-0.9947270676483777,-0.9947270676483777,99.24689558035321
-7.23333333,-39.4,421.0,1974.0,2015.0,42.0,1188.875,0.178,11.5,0.7602,2860.9392,0.18116386,15.124689,0.8606231,0.07106528129097123,0.07106528129097123,81.0450629363027
-6.77897222,-39.29522222,345.0,1974.0,2016.0,43.0,457.58,0.0719,0.0,0.6573,2755.9111,0.17331757,14.942678,0.8705662,-1.8923676272470829,-1.8923676272470829,111.61312080670533
-15.79,-47.9228,1160.0,1962.0,2021.0,70.0,1926.2,0.1349,9.8,0.8678,2110.74,0.1728712,4.7309895,0.8489332,-0.6049397541900041,-0.6049397541900041,120.85538847336012
-18.9856,-40.7461,180.0,1970.0,2016.0,47.0,3267.4,0.1649,52.2,0.9207,1683.2583,0.19245312,3.9856162,0.81189483,-15.981483013757579,-15.981483013757579,189.70338130385173
-18.9817,-39.9933,60.0,1972.0,2016.0,44.0,3091.8,0.1607,38.5,0.924,1405.1271,0.19744089,3.6883295,0.8045205,-6.2247944955468535,-6.2247944955468535,145.55918708927
-20.6806,-41.3483,180.0,1964.0,2012.0,48.0,2263.8,0.1423,19.3,0.8536,17073.242,0.17033297,88.043526,1.1338216,0.8582058362008044,0.8582058362008044,29.428809240170644
-15.93939999,-50.14059999,513.0,1980.0,2019.0,40.0,1174.71,0.164,13.454,0.79,2726.5537,0.17094629,28.659246,0.9072978,0.9729169864894313,0.9729169864894313,10.94830164492581
-16.6736,-49.2639,742.0,1962.0,2016.0,75.0,903.0,0.197,13.8,0.7682,2880.8489,0.1679131,31.914396,0.9129757,0.942421694820973,0.942421694820973,14.648344228101717
-17.72416667,-48.17111111,751.0,1977.0,2016.0,40.0,881.7487,0.1333,10.5332,0.7519,2093.648,0.17299804,13.001677,0.8649683,-0.6773818124992004,-0.6773818124992004,72.97054550057318
-20.76471778,-42.87062194,698.0,1961.0,2017.0,56.0,4985.9,0.1572,28.0,0.9811,25039.506,0.1606635,94.30864,1.1545911,0.8968950499014299,0.8968950499014299,29.21055175373797
-16.7025,-44.11719999,678.0,1975.0,2014.0,40.0,4361.2,0.2009,34.8,0.9851,3489.1018,0.17205061,35.36901,0.95493096,0.8738562417350278,0.8738562417350278,27.704658554532205
-17.7725,-47.0986,1000.0,1974.0,2018.0,45.0,778.7,0.1834,10.0,0.7399,2344.9814,0.15683994,5.976616,0.8722642,-4.190329709492853,-4.190329709492853,145.14951537920203
-18.5928,-43.4125,940.0,1943.0,2019.0,77.0,4022.58,0.1536,31.91,0.9588,2795.4697,0.15700544,15.261402,0.8673222,0.01719496805099674,0.01719496805099674,69.69479830303419
-18.3061,-44.2258,510.0,1941.0,2018.0,78.0,2518.4,0.1577,29.6,0.9121,3153.16,0.14781314,19.272802,0.8950457,-0.6167895975764528,-0.6167895975764528,71.09621245756776
-18.9231,-48.2886,869.0,1981.0,2015.0,35.0,330.4083,0.1452,0.0,0.6164,1581.8157,0.14211144,7.606063,0.8217542,-0.2410206083558002,-0.2410206083558002,71.37187893533056
-19.6783,-41.8361,290.0,1970.0,2013.0,43.0,5121.4,0.1701,29.2,0.9876,9131.907,0.15108074,54.921074,1.0302414,0.9270646584050659,0.9270646584050659,25.063275032669956
-19.9228,-43.1778,623.0,1958.0,2014.0,56.0,583.2,0.1802,6.1,0.7048,14947.617,0.1715638,67.43508,1.0784285,-0.4847228340911782,-0.4847228340911782,77.69774291791542
-19.2372,-44.1231,636.0,1961.0,2020.0,59.0,679.1,0.2645,10.4,0.7438,4668.2275,0.1883455,26.346714,0.91683024,-1.0034979422729218,-1.0034979422729218,106.27152856505106
-20.73999999,-42.02389999,399.0,1941.0,2014.0,73.0,2047.2,0.1635,20.9,0.8972,39277.28,0.1446798,118.13863,1.2326115,0.8622269900633018,0.8622269900633018,23.472866874282207
-20.6825,-42.80669999,583.0,1969.0,2014.0,45.0,4843.2,0.1501,28.702,0.9943,20717.508,0.1715252,84.43387,1.127889,0.9009483130668076,0.9009483130668076,25.33402295044184
-20.2772,-42.3256,595.0,1968.0,2021.0,53.0,975.8,0.183,13.9,0.7831,75025.48,0.17510232,141.69504,1.3070486,0.3624947606106306,0.3624947606106306,47.556123802958076
-20.62529999,-44.4333,915.0,1942.0,2005.0,63.0,1488.24,0.135,8.95,0.8209,3976.3882,0.2036899,15.125956,0.8985951,-2.1662982018535364,-2.1662982018535364,155.51661340430633
-20.0211,-45.96609999,654.0,1941.0,1988.0,47.0,1405.17,0.1604,7.85,0.8133,3498.3254,0.17258206,18.125889,0.8882273,0.5799378407705638,0.5799378407705638,64.0087411792277
-20.4722,-45.03609999,738.0,1941.0,2005.0,64.0,654.72,0.1517,9.66,0.6925,4382.1343,0.20847145,24.399765,0.92293507,-5.439508176572016,-5.439508176572016,138.0426236253488
-20.0367,-45.53529999,658.0,1974.0,2005.0,31.0,1507.21,0.156,16.98,0.8087,4543.9463,0.15595123,25.134453,0.91689795,-0.4262953170658266,-0.4262953170658266,81.51244108636867
-21.7692,-42.5397,214.0,1960.0,2014.0,54.0,1210.6,0.221,13.9,0.8215,14456.621,0.17846821,92.55482,1.1161735,0.8238352025610806,0.8238352025610806,32.36297832529482
-21.35559999,-43.0503,398.0,1941.0,2020.0,79.0,2121.1,0.1637,11.6,0.8965,15285.237,0.14157195,91.80621,1.1198064,0.5061802680013447,0.5061802680013447,68.65827753268704
-21.8964,-43.0414,452.0,1944.0,2020.0,76.0,2211.0,0.1699,12.6,0.9062,12843.489,0.17309208,92.67668,1.083639,0.6185300406863268,0.6185300406863268,59.469738011130545
-21.9664,-43.3725,451.0,1964.0,2014.0,51.0,3162.2,0.1447,22.5,0.6469,8349.087,0.16374071,59.624332,1.0404499,-0.9099340376730491,-0.9099340376730491,264.0227205139794
-21.34359999,-45.17029999,813.0,1942.0,2020.0,79.0,655.9,0.2113,4.0,0.7317,3613.45,0.17052944,17.244518,0.90801275,0.0931744616294794,0.0931744616294794,84.5401881469149
-22.35419999,-45.8539,834.0,1968.0,2017.0,50.0,1747.1,0.1703,15.2,0.8814,3389.2678,0.20685326,24.754684,0.92192775,0.39818515858821135,0.39818515858821135,56.13375736561459
-17.8308,-54.31309999,268.0,,,35.0,5690.78,0.163,32.38,1.05,1924.7965,0.15429693,0.30080363,0.8952776,-7.8766343603597875,-7.8766343603597875,219.32665310736223
-17.79029999,-55.7736,134.0,,,35.0,7766.55,0.263,32.54,1.05,1355.449,0.15168096,5.940323,0.8311176,0.4997297660107226,0.4997297660107226,106.63780766257167
-17.6233,-56.965,101.0,,,37.0,6993.54,0.263,32.62,1.05,1706.4285,0.15970725,10.8510895,0.83303607,0.6877506908796206,0.6877506908796206,75.7008668947931
-18.9978,-52.58809999,570.0,,,30.0,6127.41,0.133,32.63,1.05,892.9379,0.15348479,7.508731,0.75620025,0.9291188011569379,0.9291188011569379,18.694377779140865
-18.6917,-52.59309999,721.0,,,30.0,7140.0,0.273,32.62,1.05,768.0235,0.14320569,8.58099,0.73043406,0.009474760475693178,0.009474760475693178,143.6841848808606
-18.1906,-54.2578,316.0,,,31.0,5519.45,0.163,32.92,1.06,1339.464,0.16695313,1.5287824,0.8178833,-2.8194931311792217,-2.8194931311792217,132.63470515376977
-18.5472,-53.1353,635.0,,,30.0,5701.19,0.173,32.7,1.06,1036.1769,0.12939467,4.957001,0.76456416,0.8442896478431537,0.8442896478431537,28.940680947149087
-18.0986,-54.54719999,113.0,,,36.0,6401.78,0.183,32.8,1.06,2135.285,0.19235648,0.32643774,0.89184326,-10.449288626356328,-10.449288626356328,289.1236604663362
-18.91,-54.8322,340.0,,,30.0,6552.89,0.163,32.83,1.06,1351.9844,0.18179297,5.8799596,0.80213195,0.5404526413037796,0.5404526413037796,54.756099727685545
-18.6492,-54.35719999,250.0,,,34.0,5770.01,0.183,32.3,1.05,1398.908,0.1984253,2.0978458,0.8090203,-1.9990419171283365,-1.9990419171283365,140.1623012401729
