State,Agency,Code,Name,Latitude (º),Longitude (º),Altitude (m),Start year,End year,Years,K,a,b,c,K_r,a_r,b_r,c_r,NSE_all18,R2_all18,RMSE_all18
AL,ANA,936113,União dos Palmares,-9.1544,-36.0358,250.0,1990.0,2013.0,23.0,1120.3,0.1926,11.9,0.8242,1257.9917,0.23372616,11.993243,0.87979656,0.9854044324153458,0.9854044324153458,6.218568204270964
AM,-,-,Manaus,-3.13333333,-60.01666667,60.0,,,25.0,1387.98,0.1,12.0,0.78,2155.854,0.17242825,41.39713,0.93332213,0.6472527031754203,0.6472527031754203,31.328907459506155
AM,-,-,Parintins,-2.63333333,-56.73333333,30.0,,,14.0,5775.73,0.18,30.0,1.02,1388.9017,0.12620884,41.807613,0.88611805,-0.17164450612886895,-0.17164450612886895,87.79654894702583
AM,-,-,Uapés,-0.13333333,-67.08333333,90.0,,,18.0,2235.25,0.15,19.0,0.85,811.5585,0.1294553,24.599136,0.8024002,0.025821905867855155,0.025821905867855155,65.97741229855966
BA,ANA,940024,Juazeiro,-9.4053,-40.5036,370.0,1994.0,2010.0,17.0,1519.0,0.188,9.3,0.8795,1013.8819,0.21168493,9.870191e-12,0.879096,0.9717365931461331,0.9717365931461331,10.493076363921027
BA,ANA,1142020,Fazenda Refrigério - Jusante,-11.3561,-42.2736,489.0,1988.0,1999.0,12.0,3950.0,0.222,33.862,1.028,2911.2737,0.19456184,57.368965,1.0077802,0.46795583054050705,0.46795583054050705,42.47090693208999
BA,ANA,1143020,Morpará,-11.5667,-43.3,418.0,1988.0,1999.0,10.0,1121.26,0.233,19.746,0.783,3366.9243,0.18112782,69.09174,1.0277994,0.28936170058832866,0.28936170058832866,47.96271153390177
BA,ANA,1145012,Formosa do Rio Preto (Codevasf),-11.05,-45.1833,488.0,1987.0,1999.0,13.0,1719.054,0.174,20.021,0.865,4072.5437,0.16344899,45.734035,1.0676521,0.6940202362178997,0.6940202362178997,28.75343142427004
BA,ANA,1145013,Ponte Serafim - Montante,-11.8961,-45.6119,713.0,1987.0,1999.0,13.0,4073.933,0.181,27.902,1.073,1858.9178,0.14167385,22.47619,0.96595794,0.7725331348911463,0.7725331348911463,23.52135261354217
BA,ANA,1238051,Teodoro Sampaio,-12.3003,-38.6439,116.0,1992.0,2010.0,19.0,1406.4,0.1516,18.5,0.8222,1873.0616,0.17230706,45.72471,0.944424,0.517314853598617,0.517314853598617,32.721380147681806
BA,ANA,1239007,Argoim,-12.585,-39.5183,159.0,1988.0,1999.0,11.0,8999.0,0.245,56.068,1.119,911.21985,0.15239681,32.78683,0.8672917,-0.12471201068186666,-0.12471201068186666,72.63204088707936
BA,ANA,1242015,Brotas de Macaúbas,-12.0036,-42.6283,837.0,1988.0,1999.0,12.0,4210.017,0.192,32.453,1.042,4528.365,0.16699553,72.10188,1.0854799,0.3407503995742672,0.3407503995742672,43.82129999546872
BA,ANA,1245009,Barreiras,-12.15,-45.0,444.0,1988.0,1999.0,12.0,1525.758,0.178,19.457,0.82,2921.1074,0.14122753,30.133863,0.991063,0.7926493047266927,0.7926493047266927,25.2605459346302
BA,ANA,1339012,Ituberá,-13.8106,-39.1692,114.0,1989.0,1999.0,11.0,3228.481,0.207,45.386,0.948,4946.441,0.21260908,56.54733,1.0787667,0.8590597088139842,0.8590597088139842,18.955393607839845
BA,ANA,1344017,Santa Maria da Vitória,-13.4006,-44.1975,437.0,1988.0,1999.0,11.0,2873.405,0.216,29.656,0.946,3951.1677,0.1651702,44.59125,1.0354385,0.6722595687291293,0.6722595687291293,35.25200746038028
BA,ANA,1439014,Ipiaú,-14.1708,-39.6897,142.0,1988.0,1999.0,10.0,2194.929,0.232,32.891,0.882,2123.5405,0.18132491,37.1039,0.98633146,0.3888659254024679,0.3888659254024679,46.94968983005858
BA,ANA,1439044,Santa Cruz da Vitória,-14.9589,-39.8075,243.0,1994.0,2010.0,17.0,1098.6,0.1895,12.7,0.8331,1963.0457,0.18627714,36.753273,0.9487271,0.7987215163784122,0.7987215163784122,21.2500917312074
BA,ANA,1443002,Carinhanha,-14.3044,-43.7681,440.0,1981.0,1999.0,17.0,2718.147,0.214,21.193,0.978,1933.2274,0.17723751,25.505608,0.9513408,0.703960764230346,0.703960764230346,33.85655550223082
BA,ANA,1444017,Fazenda Porto Alegre,-14.2683,-44.5217,500.0,1981.0,1999.0,18.0,2500.0,0.184,34.478,0.902,4183.9805,0.21816716,41.49244,1.019674,0.9924103285621083,0.9924103285621083,4.460436373058688
BA,ANA,1539006,Itapebi,-15.9608,-39.5261,80.0,1975.0,1999.0,25.0,3586.593,0.204,39.135,0.987,3758.9355,0.16187319,56.32354,1.047422,0.5151659662563572,0.5151659662563572,36.55659484823816
BA,ANA,1541001,Cândido Sales,-15.505,-41.2292,676.0,1988.0,1999.0,12.0,2828.391,0.204,34.463,0.956,268.39413,0.15259802,3.2164679e-12,0.641475,0.46935567825579483,0.46935567825579483,37.0052222995427
BA,ANA,1739005,Itamaraju,-17.045,-39.5447,80.0,1975.0,1999.0,24.0,4032.86,0.211,28.605,1.06,178.41397,0.19724613,13.558582,0.6053499,-0.030406122228550103,-0.030406122228550103,57.281769122993694
BA,ANA,1740005,Medeiros Neto,-17.3722,-40.2258,180.0,1975.0,1999.0,24.0,6899.271,0.227,40.913,1.107,276.7977,0.18336567,11.715703,0.69097966,-0.09400909441429417,-0.09400909441429417,69.28810928222953
