station_idx,station_ID,latitude,longitude,dt_min,n_fit_pts,a,b,R2,c5,c10,c15,c20,c25,c30,note,all_c5,all_c10,all_c15,all_c20,all_c25,all_c30,all_c60,all_c360,all_c480,all_c600,all_c720,all_c1440
1,88690050,-31.8111,-52.3892,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,"no-15min",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2,88575050,-31.865,-53.2689,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,"no-15min",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3,88550010,-31.7192,-52.9008,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,"no-15min",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
4,88260000,-32.5194,-53.4558,15,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,"no-15min",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
5,88150900,-32.8336,-52.6436,15,8,0.136196961041453,0.164779229163353,0.793443188035267,0.383979781821777,0.478384321368493,0.63659793814433,0.63659793814433,0.63659793814433,0.63659793814433,"violated-fit; ratio-fallback(c20=0.8303*c30,c25=0.9182*c30); clamp:c20<c15,c25<c15",0.383979781821777,0.478384321368493,0.63659793814433,0.63659793814433,0.63659793814433,0.63659793814433,0.63659793814433,0.798969072164949,0.860824742268041,1.13917525773196,1.16237113402062,1.23711340206186
6,88060210,-32.5397,-52.5392,15,8,0.163393810839223,-0.230631459038757,0.983418246473499,0.0323407347829749,0.145596694087128,0.245664739884393,0.25885265339128,0.295312928604707,0.346820809248555,"ok-fit",0.0323407347829749,0.145596694087128,0.245664739884393,0.25885265339128,0.295312928604707,0.346820809248555,0.372832369942197,0.734104046242775,0.771676300578035,0.786127167630058,0.841040462427746,1.0028901734104
7,88060200,-32.5408,-52.5394,15,8,0.199390687509155,-0.3384865195803,0.965945052506261,0.0614869500015859,0.120627505160115,0.202127659574468,0.258834598036994,0.271078343864362,0.295212765957447,"violated-fit; ratio-fallback(c25=0.9182*c30,c5=0.5097*c10); clamp:c25>ub,c5<0",0.0614869500015859,0.120627505160115,0.202127659574468,0.258834598036994,0.271078343864362,0.295212765957447,0.465425531914894,0.922872340425532,0.960106382978724,0.960106382978724,0.962765957446809,1
8,88009000,-33.5022,-53.1478,15,8,0.191922003352062,-0.245073414874515,0.969195746692846,0.0638131335505978,0.196843329061496,0.335978835978836,0.355847254714286,0.37269968197571,0.428571428571428,"violated-fit; ratio-fallback(c20=0.8303*c30); clamp:c20<c15",0.0638131335505978,0.196843329061496,0.335978835978836,0.355847254714286,0.37269968197571,0.428571428571428,0.462962962962963,0.814814814814815,0.917989417989418,1.0026455026455,1.0026455026455,1.23280423280423
9,87905000,-31.0119,-52.0525,15,8,0.140706372599302,-0.19176845481873,0.887065907117515,0.034689715763665,0.132219941217688,0.202046035805627,0.229750166671711,0.26114788634606,0.341432225063939,"ok-fit",0.034689715763665,0.132219941217688,0.202046035805627,0.229750166671711,0.26114788634606,0.341432225063939,0.383631713554987,0.547314578005115,0.595907928388747,0.663682864450128,0.710997442455243,1.00255754475703
10,87795000,-30.7956,-52.6242,60,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,"no-15min",NaN,NaN,NaN,NaN,NaN,NaN,0.570776255707763,0.993150684931507,1,1,1,1.48972602739726
11,87790000,-30.7883,-52.6297,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,"no-15min",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
12,87785000,-30.7492,-52.6464,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,"no-15min",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
13,87550050,-30.9083,-53.8206,15,8,0.19557198641893,-0.291639105223635,0.977624045581389,0.0231218643290379,0.158682035311827,0.281461434370771,0.294242206294616,0.295727838151556,0.322056833558863,"violated-fit; ratio-fallback(c25=0.9182*c30); clamp:c25>ub",0.0231218643290379,0.158682035311827,0.281461434370771,0.294242206294616,0.295727838151556,0.322056833558863,0.485791610284168,0.824086603518268,0.993234100135318,1,1,1.0744248985115
14,87510049,-30.3106,-51.8475,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,"no-15min",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
15,87510047,-30.3175,-51.8678,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,"no-15min",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
16,87510015,-30.1544,-50.5528,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,"no-15min",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
17,87450004,-30.0211,-51.2211,15,8,0.123980706089089,0.109598753842411,0.896155255866521,0.28877048749616,0.28877048749616,0.353302611367128,0.481011756371507,0.50867725142267,0.565284178187404,"violated-fit; ratio-fallback(c10=0.8173*c15); clamp:c10>c15",0.28877048749616,0.28877048749616,0.353302611367128,0.481011756371507,0.50867725142267,0.565284178187404,0.7357910906298,0.855606758832565,0.855606758832565,0.855606758832565,0.855606758832565,1.07066052227343
18,87401750,-29.9683,-51.0367,15,8,0.174695295940399,-0.17398232962397,0.813504407506352,0.107178902786402,0.228268454624575,0.28021978021978,0.349358006462747,0.388340135196774,0.527472527472527,"ok-fit",0.107178902786402,0.228268454624575,0.28021978021978,0.349358006462747,0.388340135196774,0.527472527472527,0.578754578754579,0.705128205128205,0.721611721611722,0.858974358974359,1.02380952380952,1.33882783882784
19,87399000,-29.9644,-50.9778,15,8,0.16617746728282,-0.0921928120377132,0.809282274610843,0.175259503999534,0.290444946919214,0.377637130801688,0.405630389838893,0.442711820036782,0.521097046413502,"ok-fit",0.175259503999534,0.290444946919214,0.377637130801688,0.405630389838893,0.442711820036782,0.521097046413502,0.639240506329114,0.755274261603375,0.774261603375527,0.869198312236287,1.01054852320675,1.37974683544304
20,87398750,-29.9803,-50.7439,15,8,0.209396044962913,-0.380150226502409,0.940508211812405,0.0519930421618065,0.102001985161105,0.247540983606557,0.270871708096721,0.293869640451725,0.326229508196721,"violated-fit; ratio-fallback(c20=0.8303*c30,c5=0.5097*c10); clamp:c20<c15,c5<0",0.0519930421618065,0.102001985161105,0.247540983606557,0.270871708096721,0.293869640451725,0.326229508196721,0.481967213114754,0.719672131147541,0.79672131147541,0.968852459016393,1.04590163934426,1.27377049180328
21,87382000,-29.7589,-51.1483,15,8,0.170249096818887,-0.305814670714026,0.934276597762865,0.0439375277642287,0.0861983617168434,0.267188859878155,0.267188859878155,0.267188859878155,0.267188859878155,"violated-fit; ratio-fallback(c20=0.8303*c30,c25=0.9182*c30,c5=0.5097*c10); clamp:c20<c15,c25<c15,c5<0",0.0439375277642287,0.0861983617168434,0.267188859878155,0.267188859878155,0.267188859878155,0.267188859878155,0.267188859878155,0.618798955613577,0.731940818102698,0.793733681462141,0.842471714534378,1.00261096605744
22,87380000,-29.6917,-51.0461,15,8,0.171015849501089,-0.332188385530037,0.939637105566007,0.0313940928778131,0.0615901601968846,0.166127292340885,0.180129314109629,0.218290398098318,0.259978425026969,"violated-fit; ratio-fallback(c5=0.5097*c10); clamp:c5<0",0.0313940928778131,0.0615901601968846,0.166127292340885,0.180129314109629,0.218290398098318,0.259978425026969,0.378640776699029,0.533980582524272,0.676375404530744,0.756202804746494,0.816612729234088,1.02481121898598
23,87376000,-29.6858,-50.8122,15,8,0.194299501382606,-0.222421325701115,0.977925150910817,0.090291658191094,0.224969809758651,0.271929824561404,0.359647961326208,0.403004642083303,0.405263157894737,"ok-fit",0.090291658191094,0.224969809758651,0.271929824561404,0.359647961326208,0.403004642083303,0.405263157894737,0.666666666666667,0.96140350877193,0.963157894736842,0.966666666666667,1.03157894736842,1.2140350877193
24,87361100,-29.3936,-50.7475,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,"no-15min",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
25,87361000,-29.3472,-50.7014,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,"no-15min",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
26,87333000,-29.9094,-50.4253,15,8,0.169940690251629,-0.237842102682221,0.985479092214899,0.0356668870739705,0.153460797384298,0.272912423625255,0.272912423625255,0.309175876830162,0.317718940936864,"violated-fit; ratio-fallback(c20=0.8303*c30); clamp:c20<c15",0.0356668870739705,0.153460797384298,0.272912423625255,0.272912423625255,0.309175876830162,0.317718940936864,0.433808553971487,0.716904276985744,0.792260692464358,0.843177189409369,0.912423625254583,1.03258655804481
27,87317030,-29.6519,-50.2092,15,8,0.230781992650505,-0.620871001903604,0.974310230762336,0.0326400362437013,0.0640345006592757,0.0783444198078345,0.118440414170732,0.121987575054019,0.142645971914265,"violated-fit; ratio-fallback(c10=0.8173*c15,c20=0.8303*c30,c5=0.5097*c10); clamp:c10<0,c20<c15,c5<0",0.0326400362437013,0.0640345006592757,0.0783444198078345,0.118440414170732,0.121987575054019,0.142645971914265,0.203252032520325,0.770879526977088,0.841832963784183,0.877309682187731,0.927568366592757,1.00221729490022
28,87309010,-29.5097,-50.0911,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,"no-15min",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
29,87270000,-29.7011,-51.4411,15,8,0.25362428893062,-0.720604721842825,0.895232980392231,0.0365319999130342,0.0716699073202553,0.0876861262112976,0.124026491361853,0.124026491361853,0.149373670527062,"violated-fit; ratio-fallback(c10=0.8173*c15,c20=0.8303*c30,c5=0.5097*c10); clamp:c10<0,c20<c15,c5<0",0.0365319999130342,0.0716699073202553,0.0876861262112976,0.124026491361853,0.124026491361853,0.149373670527062,0.241314110139447,0.72536043488537,0.751122666036398,0.780430158354999,0.85417159064051,1.42779484755377
30,87242000,-30.1075,-51.3111,15,8,0.13732430223564,-0.0598950702054252,0.908229500729061,0.161119868111172,0.256305821028168,0.288549618320611,0.351491773945164,0.38213480642777,0.419847328244275,"ok-fit",0.161119868111172,0.256305821028168,0.288549618320611,0.351491773945164,0.38213480642777,0.419847328244275,0.593893129770992,0.65648854961832,0.699236641221374,0.795419847328244,0.861068702290076,1.04427480916031
31,87241000,-30.38,-51.0061,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,"no-15min",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
32,87231100,-29.5803,-50.5561,15,8,0.197061622613755,-0.393074224310383,0.957755104646861,0.0309285960607521,0.0606769303212673,0.214417744916821,0.224076336609982,0.241242668730333,0.269870609981516,"violated-fit; ratio-fallback(c20=0.8303*c30,c5=0.5097*c10); clamp:c20<c15,c5<0",0.0309285960607521,0.0606769303212673,0.214417744916821,0.224076336609982,0.241242668730333,0.269870609981516,0.354898336414048,0.744916820702403,0.818853974121996,0.824399260628466,0.833641404805915,1.17190388170055
33,87230000,-29.5906,-51.3136,15,8,0.163624790877812,-0.535447633587348,0.719463969059142,0.0174731491435901,0.0342795079025304,0.0419400187441424,0.0419400187441424,0.0419400187441424,0.0445173383317713,"violated-fit; ratio-fallback(c10=0.8173*c15,c20=0.8303*c30,c25=0.9182*c30,c5=0.5097*c10); clamp:c10<0,c20<c15,c25<c15,c5<0",0.0174731491435901,0.0342795079025304,0.0419400187441424,0.0419400187441424,0.0419400187441424,0.0445173383317713,0.0712277413308341,0.251874414245548,0.335754451733833,0.419634489222118,0.503514526710403,1.00398313027179
34,87200000,-29.5011,-51.0022,60,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,"no-15min",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
35,87170000,-29.59,-51.3833,15,8,0.192018753029185,-0.375019458882628,0.983681809725209,0.0342128251101625,0.0671200594176777,0.137306676725764,0.200217316694493,0.243065063164352,0.248585439456809,"violated-fit; ratio-fallback(c5=0.5097*c10); clamp:c5<0",0.0342128251101625,0.0671200594176777,0.137306676725764,0.200217316694493,0.243065063164352,0.248585439456809,0.428894756695586,0.837042625424368,0.837042625424368,0.837042625424368,0.837042625424368,1
